Topic,Count,Name,Representation,MMR,Representative_Docs
23,22,23_внедрении_только_системы_производить,"['внедрении', 'только', 'системы', 'производить', 'выдачу', '01', 'начиная', 'тмц', 'данных', 'учета']","['внедрении', 'приказ внедрении', 'только', 'системы', 'производить только', 'производить', 'выдачу', 'начиная', 'системы контроля', 'учета', 'только при', 'данных', 'контроля', 'контроля доступа', 'эксплуатацию системы', 'введении эксплуатацию', 'внедрении системы', 'тмц', 'системы учета', 'начиная выдачу', 'внедрении электронной', 'электронной системы', 'доступа', 'только по', 'электронной', 'по электронным', 'электронным', 'сотрудника', 'доступа на', 'эксплуатацию']","['ПРИКАЗ №1875. О введении в эксплуатацию системы контроля доступа на склад ТМЦ. Выдачу материалов производить только по электронным пропускам. Назначить ответственным за базу данных начальника службы безопасности.', 'ПРИКАЗ №875. О введении в эксплуатацию системы контроля доступа на склад ТМЦ. Выдачу ТМЦ производить только по электронным пропускам. Назначить ответственным за базу данных начальника службы безопасности.', 'ПРИКАЗ №1275. О введении в эксплуатацию системы контроля доступа на склад ТМЦ. Выдачу ТМЦ производить только по электронным пропускам. Назначить ответственным за базу данных начальника службы безопасности.']"
24,19,24_маркетинга_отдел_продаж_новой,"['маркетинга', 'отдел', 'продаж', 'новой', 'отдела', 'подготовить', 'для', 'презентационные', 'линейке', 'материалы']","['маркетинга', 'маркетинга от', 'отдел маркетинга', 'записка отдел', 'отдел', 'нач отдела', 'отдела продаж', 'продаж прошу', 'продаж', 'отдела', 'прошу подготовить', 'новой', 'подготовить', 'для', 'от нач', 'по новой', 'презентационные', 'презентационные материалы', 'подготовить презентационные', 'для размещения', 'линейке', 'новой линейке', 'прошу', 'завода', 'материалы', 'размещения', 'завода служебная', 'служебная', 'служебная записка', 'записка']","['СЛУЖЕБНАЯ ЗАПИСКА. В отдел маркетинга. От нач. отдела продаж. Прошу организовать профессиональную фотосъемку новой линейки токарных станков для размещения на официальном сайте и в соцсетях завода.', 'СЛУЖЕБНАЯ ЗАПИСКА. В отдел маркетинга. От нач. отдела продаж. Прошу подготовить презентационные материалы по новой линейке центробежных насосов для потенциального заказчика. Требуется перевод характеристик на английский язык.', 'СЛУЖЕБНАЯ ЗАПИСКА. В отдел маркетинга. От нач. отдела продаж. Прошу подготовить презентационные материалы по новой линейке центробежных насосов для потенциального заказчика. Требуется перевод на английский язык.']"
25,18,25_адрес_страховой_направляем_компании,"['адрес', 'страховой', 'направляем', 'компании', 'факту', 'результате', 'тк', 'исходящее', 'письмо', 'претензию']","['письмо адрес', 'адрес', 'направляем', 'адрес страховой', 'страховой', 'компании', 'страховой компании', 'факту', 'по факту', 'результате', 'адрес тк', 'тк', 'исходящее', 'исходящее письмо', 'письмо', 'направляем претензию', 'факту повреждения', 'претензию по', 'претензию', 'требуем', 'просим', 'повреждения', 'ущерба', 'документов по', 'направляем пакет', 'пакет документов', 'пакет', 'компенсировать', 'для оценки', 'оценки']","[""ИСХОДЯЩЕЕ ПИСЬМО. В адрес ТК 'Авто-Лидер'. Направляем претензию по факту порчи упаковки высокоточного станка при транспортировке. Требуем составить акт осмотра и компенсировать затраты на диагностику."", ""ИСХОДЯЩЕЕ ПИСЬМО. В адрес страховой компании 'Макс'. Направляем пакет документов по факту повреждения кровли склада готовой продукции в результате падения дерева. Просим назначить экспертизу для оценки стоимости ремонта."", ""ИСХОДЯЩЕЕ ПИСЬМО. В адрес страховой компании 'Макс'. Направляем пакет документов по факту повреждения кровли склада готовой продукции в результате падения дерева. Просим назначить экспертизу для оценки ущерба.""]"
26,20,26_администрацию_города_исходящее_письмо,"['администрацию', 'города', 'исходящее', 'письмо', 'района', 'согласовать', 'просим', 'ремонту', 'работ', 'ул']","['администрацию', 'письмо администрацию', 'города', 'просим согласовать', 'работ по', 'администрацию города', 'письмо', 'исходящее письмо', 'исходящее', 'района', 'района просим', 'согласовать', 'просим', 'по ремонту', 'ремонту', 'работ', 'уведомляем проведении', 'города уведомляем', 'города просим', 'ул', 'территории', 'уведомляем', 'администрацию района', 'фасада', 'временную схему', 'временную', 'гибдд района', 'согласовать временную', 'согласовать проведение', 'вдоль']","['ИСХОДЯЩЕЕ ПИСЬМО. В администрацию города. Уведомляем о проведении плановых работ по ремонту заводских железнодорожных путей, пересекающих проезжую часть по ул. Промышленная, 24.11 с 09:00 до 17:00.', 'ИСХОДЯЩЕЕ ПИСЬМО. В администрацию города. Уведомляем о проведении плановых работ по ремонту заводских ЖД путей на пересечении с ул. Промышленная 24.11 с 09:00 до 17:00.', 'ИСХОДЯЩЕЕ ПИСЬМО. В администрацию района. Просим согласовать временное сужение проезжей части по ул. Заводская в связи с проведением работ по ремонту кабельной линии электропередач 25.11.']"
27,25,27_возложить_действие_сбора_введении,"['возложить', 'действие', 'сбора', 'введении', 'ответственность', 'утвердить', 'приказ', 'цехов', 'регламента', 'станков']","['возложить на', 'возложить', 'сбора', 'действие', 'приказ введении', 'введении', 'введении действие', 'ответственность', 'ответственность за', 'на мастеров', 'станков', 'мастеров', 'по обращению', 'обращению', 'утвердить', 'действие регламента', 'регламента', 'масла', 'действие инструкции', 'ветоши', 'инструкции по', 'инструкции', 'приказ', 'за', 'утвердить порядок', 'тары возложить', 'порядок', 'цехов приказ', 'за наличие', 'тары']","['ПРИКАЗ №310. О вводе в действие инструкции по обращению с отходами. Утвердить регламент сбора и хранения отработанного масла и ветоши. Ответственность за наличие промаркированной тары возложить на мастеров участков.', 'ПРИКАЗ №915. О введении в действие инструкции по обращению с отработанными маслами. Утвердить порядок сбора, хранения и передачи на регенерацию индустриальных масел. Ответственность за наличие чистой тары возложить на мастеров цехов.', 'ПРИКАЗ №1415. О введении в действие инструкции по обращению с отработанными маслами. Утвердить порядок сбора и передачи на регенерацию масел. Ответственность за наличие тары возложить на мастеров цехов.']"
28,16,28_технологу_обработки_предлагаю_главному,"['технологу', 'обработки', 'предлагаю', 'главному', 'стали', 'твердосплавных', 'инструментального', 'марки', 'это', 'цеха']","['технологу от', 'главному технологу', 'технологу', 'обработки', 'для обработки', 'записка главному', 'цеха предлагаю', 'главному', 'нач инструментального', 'предлагаю', 'стали', 'инструментального', 'твердосплавных', 'марки', 'нач мех', 'мех цеха', 'цеха', 'от нач', 'это', 'для', 'требуется закупка', 'закупка', 'требуется', 'мех', 'чпу', 'инструментального цеха', 'раза служебная', 'раза', 'пластин марки', 'позволит']","['СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. мех. цеха. Для обработки крупногабаритных фланцев из нержавеющей стали требуется закупка специализированного инструмента марки Sandvik. Прошу согласовать заявку.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. инструментального цеха. Предлагаю закупить набор твердосплавных фрез для обработки закаленной стали. Это позволит сократить время обработки матриц на 20%.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. мех. цеха. Для обработки фланцев из нержавеющей стали требуется закупка инструмента марки Sandvik. Прошу согласовать заявку.']"
29,19,29_конструктору_главному_выявлено_прошу,"['конструктору', 'главному', 'выявлено', 'прошу', 'производства', 'сборки', 'изделия', 'изменения', 'при', 'чертеж']","['конструктору от', 'главному конструктору', 'конструктору', 'выявлено', 'записка главному', 'главному', 'нач производства', 'при', 'изменения', 'чертеж', 'производства', 'при сборке', 'рамы', 'эскизу служебная', 'эскизу', 'неудобство', 'сборке', 'прошу', 'прошу внести', 'внести', 'сборки', 'от нач', 'возможность изменения', 'конструкции', 'изменения конструкции', 'выявлено неудобство', 'производства при', 'кд', 'основания', 'рассмотреть возможность']","['СЛУЖЕБНАЯ ЗАПИСКА. Главному конструктору. От нач. производства. При сборке опытного образца насоса НП-100 выявлено несовпадение отверстий на раме и корпусе. Прошу внести корректировки в КД (чертеж -СБ).', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному конструктору. От нач. производства. В ходе сборки рамы основания выявлено неудобство доступа к регулировочным болтам опор. Прошу рассмотреть возможность изменения конструкции согласно эскизу.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному конструктору. От нач. производства. В ходе сборки рамы основания выявлено неудобство доступа к регулировочным болтам опор. Прошу рассмотреть возможность изменения конструкции согласно приложенному эскизу.']"
30,14,30_отгрузке_подать_сообщаем_готовности,"['отгрузке', 'подать', 'сообщаем', 'готовности', 'тонн', 'ао', 'весовой', 'стальной', 'просим', '00']","['готовности', 'просим подать', 'готовности отгрузке', 'сообщаем', 'подать', 'отгрузке', 'директору ао', 'сообщаем готовности', 'тонн', 'письмо директору', 'отгрузке тонн', 'ао', 'просим', 'стальной стружки', 'стальной', 'весовой', 'тонн стальной', 'письмо', 'исходящее', 'исходящее письмо', 'стружки', 'транспорт', 'вторчермет', 'подать транспорт', 'ломовоз', 'стружки просим', 'транспорт под', 'втормет', 'категория', 'ао вторчермет']","[""ИСХОДЯЩЕЕ ПИСЬМО. Директору АО 'ВторЧерМет'. Сообщаем о готовности к отгрузке 20 тонн стальной стружки (категория 16А). Просим подать транспорт под погрузку 25.11 к 09:00 к весовой платформе."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору АО 'ВторМет'. Сообщаем о готовности к отгрузке 15 тонн стальной стружки. Просим подать транспорт под погрузку 27.11 к 10:00 к центральной весовой."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору АО 'ВторМет'. Сообщаем о готовности к отгрузке 15 тонн стальной стружки. Просим подать транспорт под погрузку 27.11 к 10:00 к центральной весовой.""]"
31,16,31_приказываю_комиссии_проверке_до,"['приказываю', 'комиссии', 'проверке', 'до', 'систем', 'готовности', 'создании', '11', 'провести', 'пожаротушения']","['приказываю', 'по проверке', 'комиссии по', 'до главному', 'комиссии', 'проверке', 'приказываю провести', 'готовности', 'приказ создании', 'создании', 'проверке готовности', 'создании комиссии', 'систем', 'до', 'приказываю проверить', 'провести', 'пожаротушения', 'проверить', 'главному инженеру', 'до приказ', 'главному', 'инженеру', 'приказ', 'приказ назначении', 'назначении', 'назначении комиссии', 'осмотр', 'дренажных систем', 'дренажных', 'пожаротушения архиве']","['ПРИКАЗ №801. О назначении комиссии по проверке состояния систем пожаротушения в архиве предприятия. ПРИКАЗЫВАЮ: 1. Проверить работоспособность модулей порошкового пожаротушения. 2. Срок предоставления акта — 18.11.', 'ПРИКАЗ №1901. О создании комиссии по проверке готовности дренажных систем к весеннему паводку. ПРИКАЗЫВАЮ: 1. Провести очистку ливневых стоков на территории завода до 15.11. 2. Главному инженеру обеспечить закупку погружных насосов для откачки воды.', 'ПРИКАЗ №1201. О создании комиссии по проверке состояния систем пожаротушения в архиве предприятия. ПРИКАЗЫВАЮ: 1. Проверить работоспособность модулей порошкового пожаротушения. 2. Срок предоставления акта — .']"
32,13,32_лестниц_изъять_стремянок_инвентарь,"['лестниц', 'изъять', 'стремянок', 'инвентарь', 'состояния', 'проверке', 'комиссии', 'назначении', 'неисправный', 'утилизировать']","['лестниц', 'назначении комиссии', 'изъять', 'проверке состояния', 'стремянок', 'лестниц стремянок', 'состояния лестниц', 'инвентарь', 'состояния', 'комиссии по', 'проверке', 'комиссии', 'приказ назначении', 'назначении', 'по проверке', 'неисправный инвентарь', 'неисправный', 'утилизировать', 'испытания', 'утилизировать приказ', 'провести испытания', 'статическим', 'стремянок провести', 'переносного лестничного', 'статическим грузом', 'грузом', 'испытания переносного', 'инвентарь изъять', 'лестничного', 'лестничного оборудования']","['ПРИКАЗ №1490. О назначении комиссии по проверке состояния лестниц. Провести испытания переносного лестничного оборудования. Неисправный инвентарь изъять и утилизировать.', 'ПРИКАЗ №2080. О назначении комиссии по проверке состояния лестниц и стремянок. Провести плановые испытания переносного лестничного оборудования статическим грузом. Неисправный инвентарь изъять и утилизировать.', 'ПРИКАЗ №990. О назначении комиссии по проверке состояния лестниц и стремянок. Провести испытания переносного лестничного оборудования статическим грузом. Неисправный инвентарь изъять и утилизировать.']"
33,22,33_исходящее_письмо_заявку_контрольно,"['исходящее', 'письмо', 'заявку', 'контрольно', 'спецтехсервис', 'измерительных', 'направляем', 'ооо', 'приборов', 'проведение']","['спецтехсервис', 'контрольно', 'контрольно измерительных', 'измерительных', 'измерительных приборов', 'спецтехсервис направляем', 'ооо спецтехсервис', 'на проведение', 'направляем заявку', 'заявку на', 'заявку', 'ооо', 'приборов', 'письмо', 'исходящее письмо', 'исходящее', 'направляем', 'перечню исходящее', 'приборов манометры', 'поверки контрольно', 'перечню', 'манометры', 'проведение', 'директору ооо', 'согласно', 'поверки', 'периодическую поверку', 'прилагаемому', 'проведение периодической', 'на периодическую']","[""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'СпецТехСервис'. Направляем заявку на периодическую поверку контрольно-измерительных приборов (манометры, термометры) согласно приложенному перечню."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'СпецТехСервис'. Направляем заявку на проведение периодической поверки контрольно-измерительных приборов (микрометры, штангенциркули) согласно прилагаемому перечню."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'СпецТехСервис'. Направляем заявку на проведение периодической поверки контрольно-измерительных приборов (микрометры, штангенциркули) согласно прилагаемому перечню.""]"
34,12,34_перевозки_маршруту_груза_расчет,"['перевозки', 'маршруту', 'груза', 'расчет', 'стоимости', 'предоставить', 'негабаритного', 'просим', 'логистик', 'длина']","['перевозки', 'по маршруту', 'маршруту', 'директору ооо', 'предоставить расчет', 'расчет стоимости', 'груза', 'расчет', 'просим предоставить', 'стоимости', 'предоставить', 'просим', 'письмо директору', 'негабаритного груза', 'стоимости перевозки', 'маршруту завод', 'негабаритного', 'тонн', 'длина', 'логистик', 'завод', 'исходящее письмо', 'исходящее', 'письмо', 'ооо транс', 'транс', 'ооо', 'гибдд', 'руководителю гибдд', 'пользования схема']","[""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'Транс-Авто'. Просим предоставить расчет стоимости перевозки груза (масса 10 тонн, габариты 5х3х2.5 м) по маршруту Екатеринбург — Новосибирск в декабре."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'Логистик-Групп'. Просим предоставить расчет стоимости перевозки негабаритной колонны (длина 15 м, вес 12 т) по маршруту завод — порт г. Новороссийск."", ""ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'Логистик-Групп'. Просим предоставить расчет стоимости перевозки негабаритной колонны (длина 15 м, вес 12 т) по маршруту завод — порт Новороссийск.""]"
35,12,35_согласования_крупногабаритных_приема_схемы,"['согласования', 'крупногабаритных', 'приема', 'схемы', 'график', 'уточнить', 'грузов', 'порт', 'чертежи', 'декабре']","['для согласования', 'согласования', 'крупногабаритных', 'график', 'график приема', 'грузов декабре', 'порт просим', 'ао порт', 'уточнить график', 'согласования схемы', 'приема', 'схемы', 'уточнить', 'просим уточнить', 'грузов', 'чертежи', 'порт', 'ао', 'логистики ао', 'крупногабаритных грузов', 'схемы погрузки', 'приема крупногабаритных', 'декабре направляем', 'декабре', 'руководителю службы', 'логистики', 'службы логистики', 'погрузки', 'просим', 'изделий для']","[""ИСХОДЯЩЕЕ ПИСЬМО. Руководителю службы логистики АО 'Порт'. Просим уточнить график приема крупногабаритных грузов в декабре. Направляем габаритные чертежи изделий для согласования схемы погрузки."", ""ИСХОДЯЩЕЕ ПИСЬМО. Руководителю службы логистики АО 'Порт'. Просим уточнить график приема крупногабаритных грузов в декабре. Направляем габаритные чертежи изделий для согласования схемы погрузки."", ""ИСХОДЯЩЕЕ ПИСЬМО. Руководителю службы логистики АО 'Порт'. Просим уточнить график приема крупногабаритных грузов в декабре. Направляем габаритные чертежи изделий для согласования схемы погрузки.""]"
36,11,36_тренировки_00_провести_действиям,"['тренировки', '00', 'провести', 'действиям', '11', 'проведении', 'при', 'персонала', 'эвакуацию', 'отработку']","['тренировки', 'проведении тренировки', 'тренировки по', 'провести', 'приказ проведении', 'проведении', 'при', 'по действиям', 'действиям', 'персонала', 'эвакуацию', 'отработку', 'действиям при', 'системы оповещения', 'действий', 'оповещения', 'эвакуации', 'практическое', 'при пожаре', 'практическое занятие', 'провести эвакуацию', 'эвакуации при', 'отработку действий', 'провести практическое', 'проверку системы', 'пожаре', 'занятие', 'занятие на', 'действий персонала', 'административного']","['ПРИКАЗ №765. О проведении тренировки по действиям при разливе химикатов. 18.11 в 14:00 провести практическое занятие на участке гальваники. Отработать навыки использования сорбентов и нейтрализаторов.', 'ПРИКАЗ №1965. О проведении тренировки по действиям при пожаре в административном здании. 28.11 в 10:00 провести эвакуацию персонала. Ответственным за координацию действий назначить начальника охраны завода.', 'ПРИКАЗ №1465. О проведении тренировочной эвакуации при пожаре. 22.11 в 11:00 провести проверку системы оповещения и отработку действий персонала административного корпуса.']"
37,10,37_группы_рабочей_руководителем_цель,"['группы', 'рабочей', 'руководителем', 'цель', 'бережливого', 'создании', 'внедрению', '5s', 'производства', 'назначить']","['группы', 'группы по', 'рабочей группы', 'создании рабочей', 'рабочей', 'приказ создании', 'создании', 'руководителем', 'цель', 'бережливого производства', 'бережливого', 'по внедрению', 'внедрению', 'назначить руководителем', 'руководителем группы', 'назначить', 'производства', 'директора', 'директора по', 'системы', 'ответственными нач', 'организовать маркировку', 'программиста цель', 'токарей', 'ответственными', 'внедрению бережливого', 'внедрению системы', 'зам директора', 'маркировку', 'маркировку мест']","['ПРИКАЗ №780. О создании рабочей группы по внедрению системы 5S на складе ТМЦ. Назначить руководителем группы нач. склада. Цель — сокращение времени на поиск и выдачу комплектующих.', 'ПРИКАЗ №185. О создании рабочей группы по внедрению бережливого производства. Включить в группу начальников цехов №1, 3, 5. Руководителем группы назначить зам. директора по развитию.', 'ПРИКАЗ №1180. О создании рабочей группы по внедрению бережливого производства (Kaizen). Назначить руководителем группы зам. директора по развитию. Цель — выявление и устранение потерь на сборочном участке.']"
